gene bac body
100160479 752 6347
100160480 35137 115889
100160481 8294 8834
100160482 1967 1681
100160485 573 616
100160486 3657 17007
100160487 148 191
100160488 11753 5520
100160490 194 303
100160493 589 1327
100160494 480 506
100160497 5 22
100160498 403 1143
100160499 356 535
100160500 1002 1414
100160501 665 656
100160502 43 70
100160503 119 169
100160504 948 772
100160505 2843 3351
100160507 1919 2931
100160508 238 376
100160509 2 58
100160510 337 436
100160512 882 7542
100160513 3992 4580
100160514 2563 1535
100160515 95 185
100160516 1286 1130
100160517 8864 1203
100160518 7 133
100160519 16 45
100160520 2456 3206
100160521 1202 721
100160523 1613 1514
100160524 68 1683
100160527 292 602
100160528 1490 1596
100160529 807 1342
