gene trans1 trans2 trans3 trans4 trans5 trans6
ScZCZ4B_14086.g16696 0 0 0 0 0 0
ScZCZ4B_14089.g7375 19 17 76 12 21 12
ScZCZ4B_141.g18375 0 0 0 0 0 0
ScZCZ4B_141.g18376 0 0 0 0 0 0
ScZCZ4B_141.g18377 0 0 0 0 0 0
ScZCZ4B_141.g18378 0 0 0 0 1 0
ScZCZ4B_141.g18379 0 0 0 0 0 2
ScZCZ4B_141.g18380 0 2 0 0 0 0
ScZCZ4B_141.g18381 0 0 0 1 0 0
ScZCZ4B_141.g18382 0 0 0 0 0 0
ScZCZ4B_141.g18383 2 0 0 4 0 0
ScZCZ4B_141.g18384 32 14 72 1 6 2
ScZCZ4B_141.g18385 219 96 382 47 34 17
ScZCZ4B_141.g18386 299 144 738 48 43 26
ScZCZ4B_141.g18387 0 0 0 0 2 0
ScZCZ4B_141.g18388 1 0 0 2 2 0
ScZCZ4B_141.g18389 19 16 61 8 27 7
ScZCZ4B_141.g18390 2 0 3 0 0 6
ScZCZ4B_141.g18391 19 2 21 16 26 9
ScZCZ4B_141.g18392 4 8 9 1 1 0
ScZCZ4B_141.g18393 22 2 54 8 8 4
ScZCZ4B_141.g18394 95 34 173 18 28 6
ScZCZ4B_141.g18395 968 496 2009 519 915 625
ScZCZ4B_141.g18396 968 635 1907 538 863 592
ScZCZ4B_141.g18397 0 2 2 0 0 0
ScZCZ4B_141.g18398 1402 818 2589 686 1110 818
ScZCZ4B_141.g18399 1106 721 2050 650 910 634
ScZCZ4B_141.g18400 0 0 0 0 0 0
ScZCZ4B_141.g18401 0 0 0 0 0 0
ScZCZ4B_141.g18402 0 0 0 0 0 0
ScZCZ4B_141.g18403 0 0 0 0 0 0
ScZCZ4B_141.g18404 0 0 0 0 0 0
ScZCZ4B_141.g18405 10 0 22 10 4 2
ScZCZ4B_141.g18406 30 8 115 2 5 8
ScZCZ4B_141.g18407 39 28 88 5 8 2
ScZCZ4B_141.g18408 0 0 2 0 0 0
ScZCZ4B_141.g18409 48 7 87 5 10 2
ScZCZ4B_141.g18410 363 77 672 43 42 32
ScZCZ4B_141.g18411 55 17 109 0 0 0
ScZCZ4B_141.g18412 130 36 271 12 10 1
ScZCZ4B_141.g18413 58 6 134 21 28 7
ScZCZ4B_141.g18414 2773 631 4996 22 32 16
ScZCZ4B_141.g18415 0 0 4 0 0 0
ScZCZ4B_141.g18416 1586 1242 2750 371 584 328
ScZCZ4B_141.g18417 299 185 661 116 167 62
ScZCZ4B_141.g18418 2 0 4 0 0 0
ScZCZ4B_141.g18419 2 2 21 5 2 6
ScZCZ4B_141.g18420 10 4 29 5 8 2
ScZCZ4B_141.g18421 192 44 404 76 109 63
ScZCZ4B_141.g18422 124 52 155 21 22 10
ScZCZ4B_141.g18423 34 23 106 10 9 7
ScZCZ4B_141.g18424 113 31 182 24 29 27
ScZCZ4B_141.g18425 0 0 1 1 0 4
