gene male1 male2 female1 female2 asexual1 asexual2
100159338 430 329 653 688 737 594
100159339 167 139 176 195 327 197
100159342 447 356 503 510 1119 801
100159344 1361 1023 649 1012 1327 1444
100159345 2092 1463 1028 2285 1724 2016
100159346 143 128 6 14 393 284
100159347 82 80 103 123 67 71
100159348 492 370 118 441 477 780
100159349 497 396 1023 941 359 300
100159350 838 674 1616 1827 1514 1125
100159351 8217 6604 3048 4942 3010 2925
100159352 84 29 16 25 62 86
100159353 1832 1545 188 394 267 297
100159355 176 121 37 35 97 71
100159356 119 117 189 200 114 124
100159357 1933 1409 1114 1525 2592 1503
100159359 2226 1689 2764 4411 7571 7869
100159360 1 1 0 2 11 6
100159361 1089 649 281 357 847 604
100159364 773 707 347 967 648 1193
100159365 0 0 0 0 0 0
100159366 67 51 179 87 88 78
100159367 167 101 147 227 112 114
100159368 516 387 51 127 139 178
100159369 612 464 353 360 707 440
100159370 2022 1849 647 711 2045 1263
100159371 729 568 445 987 496 780
100159372 421 290 443 493 862 809
100159373 4327 2900 1405 1761 2621 1705
100159374 31 16 421 1070 265 465
100159375 1831 1368 1836 2975 4834 3420
100159378 2 0 127 268 84 86
100159379 348 255 149 274 196 272
100159380 525 378 54 87 210 182
100159381 888 761 1023 1826 2493 2540
100159382 552 422 588 860 664 596
100159383 67 57 69 93 694 656
100159384 621 424 485 599 909 694
100159385 176 108 69 164 90 177
100159386 748 656 478 725 709 889
100159387 144 84 70 151 58 68
100159388 21 23 3 1 25 26
100159389 248 189 315 322 770 519
100159390 443 390 587 914 266 372
100159391 1313 1033 976 1581 1587 1772
100159393 735 485 383 466 731 529
100159394 1200 1136 2414 3142 640 554
100159395 860 662 585 1172 509 743
100159396 526 399 639 668 1156 717
100159398 228 196 787 790 524 501
100159399 1745 1620 3719 4379 613 347
100159400 940 931 359 475 1061 595
100159402 130 97 123 124 152 142
100159403 1972 1618 1585 1676 5024 2967
100159404 452 339 191 312 583 496
100159405 174 118 1 5 2 8
100159407 157 136 421 379 254 265
100159409 2696 2067 372 822 1204 1708
100159410 4997 4290 7169 7332 39009 22049
100159411 38592 30489 29511 28790 74793 45037
100159412 54 49 34 59 110 115
100159413 201 147 526 798 205 311
100159414 1974 1424 637 1066 1518 1369
100159415 1 0 1236 1451 7 5
100159416 1659 1268 1215 1352 1437 1052
100159417 188 108 41 84 118 87
100159418 772 615 390 1079 1435 1312
100159419 1566 1398 861 998 1827 1381
100159421 20 16 188 238 402 381
100159422 80 64 77 130 88 123
100159423 32 17 4 3 1342 1032
100159424 122 101 257 555 141 263
100159425 1131 978 1750 1770 4415 2986
100159427 149 99 1329 2020 726 883
100159428 142 102 18 21 471 271
100159429 929 780 166 285 978 828
100159430 111 89 140 193 270 166
100159431 3927 3019 1172 1321 2244 1171
